Bregma	lam0.2	Centroid_X	Centroid_Y
0.26	8	-3076.736603	4092.010415
0.26	8	-3074.349707	4025.141045
0.26	8	-3046.586626	4124.286201
0.26	6	-3046.012914	4009.488527
0.26	3	-3040.657813	4057.221512
0.26	8	-3040.14017	4132.710064
0.26	8	-3028.040323	4131.768588
0.26	8	-3190.480872	4112.78079
0.26	8	-3163.730578	4081.753632
0.26	8	-3115.579741	4007.153018
0.26	8	-3075.456418	4100.197568
0.26	8	-3064.530233	4157.197554
0.26	8	-3064.222762	4102.71086
0.26	8	-3049.520795	4106.190077
0.26	6	-3051.93145	4168.264775
0.26	7	-3181.623123	4133.352561
0.26	8	-3100.784951	4047.512094
0.26	8	-3083.202195	4157.619632
0.26	8	-3039.061348	4154.884125
0.26	8	-3037.952607	4064.330269
0.26	3	-3030.402991	4165.009262
0.26	8	-3200.527744	3997.494645
0.26	8	-3151.985515	4083.759625
0.26	8	-3131.145903	4160.701747
0.26	8	-3122.342	4163.222056
0.26	8	-3043.045979	4180.818908
0.26	8	-3041.809233	4109.448541
0.26	8	-3098.569652	4123.58607
0.26	8	-3059.357417	4163.120319
0.26	8	-3046.353367	4174.190188
0.26	8	-3039.027304	4172.2775
0.26	4	-3211.739178	4255.527786
0.26	7	-3202.986485	4334.302522
0.26	4	-3203.62195	4245.921814
0.26	4	-3201.84314	4227.184325
0.26	6	-3201.636053	4346.651651
0.26	4	-3195.011	4234.733949
0.26	4	-3191.651658	4215.272885
0.26	1	-3192.833986	4376.996176
0.26	4	-3189.285966	4322.997011
0.26	4	-3180.987267	4269.650338
0.26	2	-3171.561777	4374.844496
0.26	4	-3169.5598	4340.812386
0.26	1	-3167.198903	4304.166127
0.26	3	-3161.41954	4198.604675
0.26	3	-3161.426964	4359.540874
0.26	3	-3157.98531	4304.053846
0.26	4	-3150.995054	4341.357732
0.26	4	-3143.882649	4254.183308
0.26	5	-3134.510929	4231.508776
0.26	2	-3136.288199	4297.552159
0.26	6	-3132.688405	4217.639262
0.26	4	-3133.275216	4194.986007
0.26	4	-3131.121935	4333.897735
0.26	4	-3130.577811	4350.162628
0.26	6	-3129.193477	4209.230216
0.26	6	-3127.705594	4375.193042
0.26	4	-3120.984245	4242.485637
0.26	6	-3117.684714	4357.291851
0.26	4	-3115.047545	4299.003247
0.26	4	-3109.068684	4218.184475
0.26	4	-3101.426322	4217.548584
0.26	3	-3100.443084	4207.219742
0.26	1	-3098.363507	4316.232011
0.26	3	-3092.700712	4308.669007
0.26	4	-3090.243148	4255.936664
0.26	11	-3086.988514	4289.347219
0.26	2	-3082.723752	4246.279982
0.26	6	-3078.805044	4308.858773
0.26	6	-3061.134504	4332.871028
0.26	2	-3063.523531	4241.457764
0.26	7	-3062.387924	4271.000022
0.26	4	-3059.46924	4221.563859
0.26	11	-3053.025376	4345.75097
0.26	4	-3047.182137	4235.461533
0.26	11	-3040.930922	4353.040977
0.26	3	-3035.705823	4222.720258
0.26	2	-3029.750997	4270.69158
0.26	11	-3028.902779	4360.258219
0.26	6	-3028.315454	4305.818388
0.26	4	-3195.404111	4273.398588
0.26	3	-3195.983704	4265.883981
0.26	3	-3176.114923	4233.354586
0.26	4	-3172.726536	4294.436723
0.26	4	-3145.842106	4233.863454
0.26	8	-3116.296004	4343.954057
0.26	6	-3113.883272	4329.948848
0.26	11	-3074.802033	4324.305361
0.26	5	-3041.136329	4269.050229
0.26	4	-3176.940569	4214.876474
0.26	2	-3114.040909	4304.444687
0.26	9	-3105.180813	4267.917789
0.26	4	-3178.62703	4260.228682
0.26	6	-3149.908321	4362.691179
0.26	6	-3145.444252	4364.222259
0.26	4	-3129.629373	4301.72802
0.26	2	-3006.349529	4236.342702
0.26	11	-3006.029526	4347.002786
0.26	6	-3000.135121	4350.997632
0.26	8	-2996.910924	4207.120175
0.26	7	-2989.979913	4263.46073
0.26	9	-2987.157372	4233.771501
0.26	8	-2986.422368	4208.135544
0.26	11	-2986.013664	4350.330463
0.26	3	-2971.190218	4372.264026
0.26	2	-2968.604235	4256.296764
0.26	2	-2954.265463	4262.182892
0.26	9	-2948.162974	4298.034767
0.26	2	-2947.769845	4349.068361
0.26	5	-2946.156564	4249.938885
0.26	8	-2938.363889	4217.44908
0.26	4	-2933.757945	4340.702713
0.26	3	-2934.685818	4235.512585
0.26	8	-2923.080671	4223.464479
